index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired checksum2
41, 101,3330,1061015646,1,35562,9.126851,3.648035,-0.007301,0.000000,-9.801000,2.754725,9.832555,6.892781,12.502017,-0.088096,1.840015,564.755448,179.334895,-174.952891,56.183432,-0.191032,0.014165,0.041886,0.000000,21.962414,2004.476074,0.372070,0.000000,-0.516235,2004.992310,-0.356356,79877.687500,-0.578652,0,0.000000,0, 202
42, 101,3330,1061011460,1,39835,9.061802,3.647464,0.005501,0.000000,-9.801000,2.754763,12.235185,6.892781,14.590973,-0.659446,2.766586,561.292925,178.529820,-174.997301,56.175301,-0.191463,0.020966,0.040362,0.000000,22.031704,2004.357910,0.372070,0.000000,-0.634399,2004.992310,-0.067045,79878.539062,-0.267583,0,0.000000,0, 202
43, 101,1916899328,-1044470624,4267080,4112000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203902874465033777053696.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109550201673275670528.000000,-200653040.000000,-0.000000,0.000000,-3545260648263818674176.000000,-14815077784964273291673993216.000000,14829158002314330391582439636992.000000,0.000000,-0.000000,-0.000045,-0.000092,-7437770892409657755789426688.000000,994376341,0.000000,112, 202
44, 101,3330,1060997004,1,46354,9.068031,3.611307,-0.002845,0.000000,-9.801000,2.760075,10.313081,5.451203,12.660879,0.591169,-0.038012,560.851804,178.106472,-174.365987,56.189531,-0.188552,0.025521,0.045119,0.000000,22.133329,2004.684326,0.372070,0.000000,-0.307983,2004.992310,0.085902,79874.468750,-0.088588,0,0.000000,0, 202
45, 101,3330,1060864361,1,50642,8.891672,3.538944,0.008456,0.000000,-9.801000,2.757000,9.832555,7.373307,13.238859,-0.768243,13.714954,549.927381,177.353375,-174.274012,56.167043,-0.189692,0.032183,0.044606,0.000000,22.184141,2004.522949,0.372070,0.000000,-0.469360,2004.992310,-0.530244,79873.906250,-0.184596,0,0.000000,0, 202
46, 101,1027905084,0,1024083939,0,100.000000,0.000000,0.000000,-0.000520,-0.007382,-0.005720,0.000000,0.758377,9.145081,0.000000,0.000000,-42.626695,562.592136,1038.486004,4576848.191894,2004.044189,22.239571,-0.230619,0.372070,0.000000,0.000000,0.000000,0.981296,0.000000,0.000000,-3.035742,0.000000,0.000000,0,0.000000,0, 202
47, 101,3330,1061210910,1,56907,9.118094,3.492727,-0.003266,0.000000,-9.801000,2.773199,10.793607,6.412255,13.484864,0.251403,0.010180,561.106597,176.345212,-173.802578,56.233566,-0.181102,0.041199,0.047283,0.000000,22.285763,2004.075195,0.372070,0.000000,-0.917114,2004.992310,0.472494,79880.648438,-0.379039,0,0.000000,0, 202
48, 101,0,4376576,4015855,4181196,0.000000,0.000000,0.000000,-47.109127,103401941630976.000000,0.000000,0.747103,-0.000000,0.000000,-2437092933411483490609069588229197398016.000000,28485438013443474064382104407157768192.000000,-22906949822.972366,-13093660619967267321413632.000000,-216034616336655023475785728.000000,0.002691,-0.000000,0.000000,0.000000,-23.917374,0.000000,0.000000,0.000000,-117742772962121829852372795392.000000,0.000000,-170141183460469231731687303715884105728.000000,-0.000000,0.000000,0.000000,0,-200802768.000000,0, 202
49, 101,3330,1061131259,1,63289,9.113334,3.479427,-0.011075,0.000000,-9.801000,2.775808,10.313081,5.931729,13.272196,0.399761,0.221136,560.560346,175.129575,-173.222736,56.216985,-0.178923,0.052449,0.050356,0.000000,22.378143,2003.895996,0.372070,0.000000,-1.096313,2004.992310,0.050788,79882.742188,-0.517175,0,0.000000,0, 202
50, 101,3330,1061206287,1,67513,9.201344,3.466695,0.001511,0.000000,-9.801000,2.774477,10.313081,6.412255,12.773525,0.865769,-0.063498,565.023082,174.373363,-173.085941,56.193858,-0.179067,0.059163,0.050273,0.000000,22.433573,2004.153442,0.372070,0.000000,-0.838867,2004.992310,0.294255,79883.007812,-0.255744,0,0.000000,0, 202
