timestamp(ms),TotalValid,TotalErrors,AverageRAWResult,AverageDistance,Distance,RSSI,
"1750603010.019","0","5","0","0",,,
"1750603010.726","0","5","0","0",,,
"1750603011.432","0","5","0","0",,,
"1750603012.138","0","5","0",,,,
"1750603012.139",,,,"0",,,
"1750603012.847","0","5","0","0",,,
"1750603013.552","0","5","0","0",,,
"1750603014.258","0","5","0",,,,
"1750603014.259",,,,"0",,,
"1750603014.966","0","5","0","0",,,
"1750603015.672","0","5","0","0",,,
"1750603016.378","0","5",,,,,
"1750603016.379",,,"0","0",,,
"1750603017.085","0","5","0",,,,
"1750603017.087",,,,"0",,,
"1750603017.793","0","5","0",,,,
"1750603017.794",,,,"0",,,
"1750603018.499","0","5","0","0",,,
"1750603019.205","0","5",,,,,
"1750603019.206",,,"0",,,,
"1750603019.207",,,,"0",,,
"1750603019.913","0","5","0","0",,,
"1750603020.618","0","5","0","0",,,
"1750603021.325","0","5","0","0",,,
"1750603022.032","0","5","0",,,,
"1750603022.033",,,,"0",,,
"1750603022.738","0","5","0",,,,
"1750603022.739",,,,"0",,,
"1750603023.447","0","5",,,,,
"1750603023.448",,,"0","0",,,
"1750603024.152","0","5","0",,,,
"1750603024.153",,,,"0",,,
"1750603024.858","0","5","0","0",,,
"1750603025.565","0","5","0",,,,
"1750603025.566",,,,"0",,,
"1750603026.272","0","5","0","0",,,
"1750603026.979","0","5","0",,,,
"1750603026.98",,,,"0",,,
"1750603027.685","0","5","0",,,,
"1750603027.686",,,,"0",,,
"1750603028.392","0","5",,,,,
"1750603028.393",,,"0","0",,,
"1750603029.099","0","5",,,,,
"1750603029.1",,,"0","0",,,
"1750603029.806","0","5","0",,,,
"1750603029.807",,,,"0",,,
"1750603030.512","0","5","0",,,,
"1750603030.513",,,,"0",,,
"1750603031.219","0","5","0","0",,,
"1750603031.927","0","5","0",,,,
"1750603031.928",,,,"0",,,
"1750603032.633","0",,,,,,
"1750603032.634",,"5","0","0",,,
"1750603033.339","0","5","0","0",,,
"1750603034.046","0","5","0","0",,,
"1750603034.754","0","5","0","0",,,
"1750603035.459","0","5","0","0",,,
"1750603036.165","0","5","0",,,,
"1750603036.166",,,,"0",,,
"1750603036.872","0","5","0","0",,,
"1750603037.58","0","5","0","0",,,
"1750603038.285","0","5","0","0",,,
"1750603038.993","0","5","0","0",,,
"1750603039.698","0","5","0","0",,,
"1750603040.405","0","5","0","0",,,
"1750603041.112","0","5",,,,,
"1750603041.113",,,"0","0",,,
"1750603041.82","0","5","0","0",,,
"1750603042.527","0","5","0","0",,,
"1750603043.232","0","5","0","0",,,
"1750603043.939","0","5","0","0",,,
"1750603044.645","0","5","0","0",,,
"1750603045.354","0","5","0","0",,,
"1750603046.062","0","5","0","0",,,
"1750603046.767","0","5",,,,,
"1750603046.768",,,"0","0",,,
"1750603047.473","0","5","0","0",,,
"1750603048.179","0",,,,,,
"1750603048.18",,"5","0",,,,
"1750603048.182",,,,"0",,,
"1750603048.886","0","5","0",,,,
"1750603048.887",,,,"0",,,
"1750603049.594","0","5","0",,,,
"1750603049.595",,,,"0",,,
"1750603050.299","0","5","0",,,,
"1750603050.3",,,,"0",,,
"1750603051.006","0",,,,,,
"1750603051.007",,"5","0","0",,,
"1750603051.713","0","5","0","0",,,
"1750603052.42","0","5","0","0",,,
"1750603053.127","0","5","0","0",,,
"1750603053.833","0","5","0","0",,,
"1750603054.54","0","5","0","0",,,
"1750603055.246","0","5",,,,,
"1750603055.247",,,"0","0",,,
"1750603055.953","0","5","0",,,,
"1750603055.954",,,,"0",,,
"1750603056.661","0","5","0","0",,,
"1750603057.366","0","5",,,,,
"1750603057.367",,,"0","0",,,
"1750603058.073","0","5","0",,,,
"1750603058.074",,,,"0",,,
"1750603058.78","0","5","0","0",,,
"1750603059.487","0","5","0","0",,,
"1750603060.195","0","5","0","0",,,
"1750603060.899","0",,,,,,
"1750603060.9",,"5","0","0",,,
"1750603061.609","0","5","0","0",,,
"1750603062.313","0","5",,,,,
"1750603062.314",,,"0","0",,,
"1750603063.02","0","5","0","0",,,
"1750603063.728","0","5","0","0",,,
"1750603064.433","0","5","0",,,,
