seconds, altitude, temp,volts
21.05,1747,69.3F,8.2
21.1,1744,69.3F,8.2
21.15,1744,69.3F,8.2
21.2,1739,69.3F,8.2
21.25,1737,69.3F,8.2
21.3,1734,69.3F,8.2
21.35,1731,69.3F,8.2
21.4,1731,69.3F,8.2
21.45,1727,69.3F,8.2
21.5,1726,69.3F,8.2
21.55,1725,69.3F,8.2
21.6,1724,69.3F,8.2
21.65,1724,69.3F,8.2
21.7,1719,69.3F,8.2
21.75,1716,69.3F,8.2
21.8,1713,69.3F,8.2
21.85,1710,69.3F,8.2
21.9,1707,69.3F,8.2
21.95,1705,69.3F,8.2
22,1699,69.3F,8.2
22.05,1701,69.3F,8.2
22.1,1696,69.3F,8.2
22.15,1694,69.3F,8.2
22.2,1688,69.3F,8.2
22.25,1686,69.3F,8.2
22.3,1685,69.3F,8.2
22.35,1683,69.3F,8.2
22.4,1679,69.3F,8.2
22.45,1676,69.3F,8.2
22.5,1673,69.3F,8.2
22.55,1672,69.3F,8.2
22.6,1670,69.3F,8.2
22.65,1668,69.3F,8.2
22.7,1663,69.3F,8.2
22.75,1662,69.3F,8.2
22.8,1659,69.3F,8.2
22.85,1656,69.3F,8.2
22.9,1657,69.3F,8.2
22.95,1654,69.3F,8.2
23,1655,69.3F,8.2
23.05,1655,69.3F,8.2
23.1,1651,69.3F,8.2
23.15,1649,69.3F,8.2
23.2,1650,69.3F,8.2
23.25,1643,69.3F,8.2
23.3,1639,69.3F,8.2
23.35,1635,69.3F,8.2
23.4,1634,69.3F,8.2
23.45,1630,69.3F,8.2
23.5,1625,69.3F,8.2
23.55,1625,69.3F,8.2
23.6,1618,69.3F,8.2
23.65,1616,69.3F,8.2
23.7,1616,69.3F,8.2
23.75,1610,69.3F,8.2
23.8,1609,69.3F,8.2
23.85,1606,69.3F,8.2
23.9,1604,69.2F,8.2
23.95,1600,69.3F,8.2
24,1598,69.3F,8.2
24.05,1596,69.3F,8.2
24.1,1595,69.3F,8.2
24.15,1592,69.3F,8.2
24.2,1591,69.3F,8.2
24.25,1586,69.3F,8.2
24.3,1584,69.3F,8.2
24.35,1582,69.3F,8.2
24.4,1581,69.3F,8.2
24.45,1577,69.3F,8.2
24.5,1575,69.3F,8.2
24.55,1575,69.3F,8.2
24.6,1573,69.3F,8.2
24.65,1570,69.3F,8.2
24.7,1569,69.3F,8.2
24.75,1568,69.3F,8.2
24.8,1566,69.3F,8.2
24.85,1563,69.3F,8.2
24.9,1560,69.3F,8.2
24.95,1554,69.3F,8.2
25,1551,69.3F,8.2
25.05,1547,69.3F,8.2
25.1,1545,69.3F,8.2
25.15,1542,69.3F,8.2
25.2,1541,69.3F,8.2
25.25,1539,69.3F,8.2
25.3,1536,69.3F,8.2
25.35,1532,69.3F,8.2
25.4,1534,69.3F,8.2
25.45,1529,69.3F,8.2
25.5,1528,69.3F,8.2
25.55,1526,69.3F,8.2
25.6,1524,69.3F,8.2
25.65,1523,69.3F,8.2
25.7,1520,69.3F,8.2
25.75,1518,69.3F,8.2
25.8,1514,69.3F,8.2
25.85,1510,69.3F,8.2
25.9,1506,69.3F,8.2
25.95,1503,69.3F,8.2
26,1500,69.3F,8.2
26.05,1497,69.3F,8.2
26.1,1496,69.3F,8.2
26.15,1493,69.3F,8.2
26.2,1491,69.3F,8.2
26.25,1488,69.3F,8.2
26.3,1486,69.3F,8.2
26.35,1481,69.3F,8.2
26.4,1479,69.3F,8.2
26.45,1476,69.3F,8.2
26.5,1474,69.3F,8.2
26.55,1472,69.3F,8.2
26.6,1468,69.3F,8.2
26.65,1465,69.3F,8.2
26.7,1463,69.3F,8.2
26.75,1462,69.3F,8.2
26.8,1458,69.3F,8.2
26.85,1457,69.3F,8.2
26.9,1455,69.3F,8.2
26.95,1451,69.3F,8.2
27,1448,69.3F,8.2
27.05,1447,69.3F,8.2
27.1,1444,69.3F,8.2
27.15,1441,69.3F,8.2
27.2,1438,69.3F,8.2
27.25,1437,69.3F,8.2
27.3,1434,69.3F,8.2
27.35,1431,69.3F,8.2
27.4,1429,69.3F,8.2
27.45,1427,69.3F,8.2
27.5,1423,69.3F,8.2
27.55,1421,69.3F,8.2
27.6,1416,69.3F,8.2
27.65,1416,69.3F,8.2
27.7,1413,69.3F,8.2
27.75,1410,69.3F,8.2
27.8,1408,69.3F,8.2
27.85,1405,69.3F,8.2
27.9,1402,69.3F,8.2
27.95,1402,69.3F,8.2
28,1399,69.3F,8.2
28.05,1396,69.3F,8.2
28.1,1392,69.3F,8.2
28.15,1391,69.3F,8.2
28.2,1389,69.3F,8.2
28.25,1386,69.3F,8.2
28.3,1382,69.3F,8.2
28.35,1382,69.3F,8.2
28.4,1377,69.3F,8.2
28.45,1376,69.3F,8.2
28.5,1373,69.3F,8.2
28.55,1372,69.3F,8.2
28.6,1367,69.3F,8.2
28.65,1366,69.3F,8.2
28.7,1365,69.3F,8.2
28.75,1362,69.3F,8.2
28.8,1357,69.3F,8.2
28.85,1356,69.3F,8.2
28.9,1354,69.3F,8.2
28.95,1350,69.3F,8.2
29,1347,69.3F,8.2
29.05,1344,69.3F,8.2
29.1,1342,69.3F,8.2
29.15,1338,69.3F,8.2
29.2,1337,69.3F,8.2
29.25,1335,69.3F,8.2
29.3,1330,69.3F,8.2
29.35,1326,69.3F,8.2
29.4,1325,69.3F,8.2
29.45,1322,69.3F,8.2
29.5,1319,69.3F,8.2
29.55,1318,69.3F,8.2
29.6,1313,69.3F,8.2
29.65,1311,69.3F,8.2
29.7,1309,69.3F,8.2
29.75,1307,69.3F,8.2
29.8,1304,69.3F,8.2
29.85,1300,69.3F,8.2
29.9,1302,69.3F,8.2
29.95,1297,69.3F,8.2
30,1294,69.3F,8.2
30.05,1294,69.3F,8.2
30.1,1289,69.3F,8.2
30.15,1286,69.3F,8.2
30.2,1283,69.3F,8.2
30.25,1282,69.3F,8.2
30.3,1279,69.3F,8.2
30.35,1275,69.3F,8.2
30.4,1273,69.3F,8.2
30.45,1270,69.3F,8.2
30.5,1267,69.3F,8.2
30.55,1265,69.3F,8.2
30.6,1264,69.3F,8.2
30.65,1260,69.3F,8.2
30.7,1258,69.3F,8.2
30.75,1255,69.3F,8.2
30.8,1254,69.3F,8.2
30.85,1252,69.3F,8.2
30.9,1251,69.3F,8.2
30.95,1248,69.3F,8.2
31,1243,69.3F,8.2
31.05,1242,69.3F,8.2
31.1,1238,69.3F,8.2
31.15,1237,69.3F,8.2
31.2,1234,69.3F,8.2
31.25,1230,69.3F,8.2
31.3,1229,69.3F,8.2
31.35,1227,69.3F,8.2
31.4,1222,69.3F,8.2
31.45,1219,69.3F,8.2
31.5,1216,69.3F,8.2
31.55,1212,69.3F,8.2
31.6,1210,69.3F,8.2
