index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,checksum2
1765, 101,1791610,1791588,1,1,-0.054258,-0.151212,10.014429,0.007922,0.029448,0.214671,-1.152348,-1.358791,4.437593,0.165975,-0.121317,-0.684134,90.245978,179.134360,82.934315,-0.465236,0.471231,0.525162,0.534511,656.113403,94279.539062,-0.691917,0.024384,1.210754,-0.808533,-0.720672,20.625000,25.369900,0,5.380000,0, 202
1766, 101,1793731,1793725,1,1,-0.055127,-0.144279,10.034127,-0.003387,0.000097,0.234315,-0.191296,-0.878266,5.398644,-0.782832,0.527522,0.326371,90.418140,179.243206,82.564529,-0.464640,0.468412,0.526249,0.536435,656.135986,94281.375000,-0.276558,0.031404,1.210754,-0.785950,-0.718309,20.750000,25.388023,0,5.380000,0, 202
1767, 101,1795852,1795823,1,1,-0.047722,-0.152042,10.020432,-0.013796,0.017127,0.220675,-1.152348,-4.241947,4.918118,0.227831,-0.803707,-0.079497,90.293339,179.256047,81.993293,-0.461593,0.466147,0.529289,0.538044,656.125671,94278.445312,-0.210856,0.036209,1.210754,-0.796265,-0.814065,20.750000,25.383492,0,5.380000,0, 202
1768, 101,1797982,1797954,1,1,-0.050828,-0.145927,10.039982,0.001554,-0.012526,0.240163,0.289230,-1.358791,5.398644,-0.282659,-0.053794,-0.652077,90.485929,179.212839,81.166799,-0.458274,0.461750,0.531551,0.542425,656.141357,94279.328125,-0.164282,-0.096039,1.210754,-0.780579,-0.778708,20.750000,25.397085,0,5.380000,0, 202
1769, 101,1800115,1800096,1,1,-0.043781,-0.140828,10.012341,0.013388,0.000589,0.212419,-1.152348,4.407518,4.437593,-0.415741,0.188985,-0.264367,90.372746,179.167965,80.800223,-0.456209,0.460375,0.533644,0.543279,656.036377,94281.304688,-0.227478,-0.040714,1.210754,-0.885559,-0.829508,20.750000,25.397085,0,5.380000,0, 202
1770, 101,1802253,1802242,1,1,-0.035120,-0.149745,10.033782,-0.003915,-0.012536,0.233952,-0.671822,-0.397740,3.957067,-0.344158,0.473791,0.101794,90.416125,179.214533,80.099281,-0.452578,0.457395,0.536396,0.546116,656.120605,94281.164062,0.610954,0.055061,1.210754,-0.801331,-0.869951,20.750000,25.415211,0,5.380000,0, 202
1771, 101,1804402,1804396,1,1,-0.039074,-0.120007,10.012902,0.032683,-0.004732,0.212643,-0.191296,-1.358791,4.918118,0.094474,-0.080418,-0.137305,90.371845,179.178456,79.517240,-0.450511,0.453966,0.539336,0.547788,655.978516,94284.132812,-0.741509,0.003444,1.210754,-0.943420,-0.823894,20.750000,25.415211,0,5.380000,0, 202
1772, 101,1806633,1806612,1,1,-0.041293,-0.126207,10.019881,0.014630,-0.010930,0.219744,0.769756,0.563312,4.918118,-0.381729,0.797812,-0.464319,90.432039,179.253056,78.993269,-0.447883,0.451605,0.540632,0.550610,656.077454,94279.078125,0.040466,-0.014581,1.210754,-0.844482,-0.861250,20.875000,25.428802,0,5.380000,0, 202
1773, 101,1808780,1808755,1,1,-0.047151,-0.141542,10.017285,0.010758,0.004410,0.217389,-1.152348,-0.878266,4.918118,-0.089892,0.189135,-0.477891,90.401426,179.199534,78.421903,-0.444755,0.449278,0.542814,0.552897,656.237793,94278.156250,-0.001426,0.124500,1.210754,-0.684143,-0.718813,20.750000,25.419741,0,5.380000,0, 202
1774, 101,1810928,1810910,1,1,-0.057406,-0.131849,10.027923,0.016256,-0.011513,0.227934,-1.632874,-0.878266,5.398644,-0.906789,-0.056682,-0.867559,90.542880,179.238261,78.026326,-0.443756,0.446501,0.544441,0.554348,656.073914,94281.054688,-0.220536,-0.064918,1.210754,-0.848022,-0.803028,20.750000,25.428802,0,5.380000,0, 202
1775, 101,1813134,1813114,1,1,-0.054320,-0.136429,10.024079,0.005312,-0.005446,0.224152,-0.191296,-0.397740,4.437593,-0.213861,-0.151275,0.696911,90.502971,179.275554,77.500777,-0.441057,0.444144,0.546211,0.556648,655.948853,94282.929688,-0.461655,0.093454,1.210754,-0.973083,-0.791208,20.875000,25.442396,0,5.380000,0, 202
1776, 101,1815217,1815183,1,1,-0.067288,-0.134808,10.014082,0.000363,0.015791,0.214203,0.289230,-0.878266,5.879170,-0.119716,0.043710,-0.990733,90.461614,179.335824,76.708045,-0.437329,0.440221,0.549706,0.559260,656.002869,94278.968750,-0.558336,-0.010869,1.210754,-0.919067,-0.841863,20.875000,25.442396,0,5.380000,0, 202
1777, 101,1817305,1817297,1,1,-0.042752,-0.146672,10.020193,-0.001184,-0.010723,0.220352,-0.191296,-1.358791,4.918118,-0.929232,-0.137701,-0.217797,90.494693,179.248343,76.503993,-0.435793,0.439779,0.550236,0.560285,656.063904,94278.867188,-0.261165,0.006640,1.210754,-0.858032,-0.791992,20.875000,25.455990,0,5.380000,0, 202
1778, 101,1819396,1819362,1,1,-0.049012,-0.151298,10.024314,-0.017436,0.037916,0.224489,-0.191296,-0.397740,5.879170,0.176597,0.548451,-0.304533,90.263197,179.327709,76.080746,-0.433463,0.437996,0.553048,0.560719,656.139282,94276.851562,-0.220873,-0.103127,1.210754,-0.782654,-0.811428,20.750000,25.460520,0,5.380000,0, 202
