index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2\r
2926, 101,1079942,1079917,1,1,-0.162139,0.081901,9.797345,0.004827,-0.012401,-0.001980,10.380273,5.368570,-0.367666,-0.049816,0.832361,-0.676073,91.061510,179.584292,138.192103,0.665744,-0.655337,-0.247529,-0.256996,651.622620,94330.039062,-0.422087,-0.030385,2.927917,-0.140869,-0.097271,30.875000,36.033306,0,2.970000,0,0,0, 202
2927, 101,1082036,1082026,1,1,-0.148653,0.084379,9.809458,-0.002470,-0.013331,0.009938,10.860798,4.888044,-0.848191,-0.056169,-0.516309,-0.025767,91.024674,179.698015,138.056920,0.665481,-0.655007,-0.249047,-0.257053,651.403809,94329.734375,-0.155323,-0.118822,2.927917,-0.359680,-0.353206,30.875000,35.992523,0,2.980000,0,0,0, 202
2928, 101,1084133,1084130,1,1,-0.149848,0.090145,9.802584,0.021113,-0.001313,0.003121,10.860798,4.888044,-0.848191,-0.111123,-0.475753,0.532249,90.986794,179.583609,137.687885,0.664391,-0.654473,-0.251226,-0.259105,651.159058,94340.390625,0.366869,0.039420,2.927917,-0.604431,-0.594945,30.750000,35.965336,0,2.980000,0,0,0, 202
2929, 101,1086240,1086208,1,1,-0.153714,0.090046,9.821029,-0.000515,0.000335,0.021644,11.821850,3.926993,1.073912,-0.599424,0.230226,0.074504,90.990346,179.694354,137.638284,0.664334,-0.654300,-0.251495,-0.259428,651.145691,94338.992188,-0.131881,0.022341,2.927917,-0.617798,-0.567285,30.750000,35.929085,0,2.980000,0,0,0, 202
2930, 101,1088351,1088327,1,1,-0.158869,0.093339,9.806898,-0.023874,-0.000722,0.007600,10.380273,4.888044,-0.367666,-0.272535,0.602372,-0.221450,91.032522,179.821314,137.626085,0.664523,-0.654042,-0.251499,-0.259588,651.132324,94332.656250,-0.019459,-0.070736,2.927917,-0.631165,-0.662315,30.750000,35.883774,0,2.990000,0,0,0, 202
2931, 101,1090470,1090452,1,1,-0.146468,0.087231,9.822289,0.041789,-0.001174,0.022679,10.860798,6.810148,0.112860,-0.333302,0.631127,0.590333,90.961106,179.476758,137.099478,0.662917,-0.653320,-0.254639,-0.262439,651.092529,94334.460938,-0.248037,-0.136773,2.927917,-0.670959,-0.657665,30.750000,35.838459,0,2.990000,0,0,0, 202
2932, 101,1092684,1092682,1,1,-0.164462,0.068115,9.810504,0.002711,0.005354,0.011117,10.380273,5.368570,0.112860,-0.229009,0.013101,0.300256,90.913964,179.551576,137.087429,0.662514,-0.653653,-0.254001,-0.263241,651.237183,94333.054688,-0.005119,-0.112319,2.927917,-0.526306,-0.535748,30.750000,35.802208,0,2.990000,0,0,0, 202
2933, 101,1094796,1094763,1,1,-0.156849,0.075000,9.796095,-0.001138,-0.013297,-0.003372,11.341324,6.810148,0.112860,0.270980,0.812308,-0.456399,91.024551,179.635970,136.935089,0.662792,-0.652679,-0.255088,-0.263908,651.379272,94334.851562,0.094909,0.001151,2.927917,-0.384216,-0.334282,30.625000,35.756893,0,2.990000,0,0,0, 202
2934, 101,1096916,1096889,1,1,-0.155200,0.099183,9.796784,0.011874,-0.000116,-0.002492,8.938695,5.849096,1.554438,-0.222891,-0.057081,-0.115729,91.045691,179.669697,136.595860,0.662346,-0.651585,-0.257522,-0.265362,651.452393,94333.367188,0.160153,0.121596,2.927917,-0.311096,-0.289012,30.500000,35.725170,0,2.990000,0,0,0, 202
2935, 101,1099046,1099020,1,1,-0.155839,0.083054,9.810790,0.003946,0.009977,0.011373,11.341324,5.368570,-0.848191,0.138493,-0.990556,0.059117,90.918233,179.645559,136.799345,0.662242,-0.652620,-0.256159,-0.264398,651.672363,94326.945312,0.584749,0.139026,2.927917,-0.091125,-0.154414,30.500000,35.684387,0,3.000000,0,0,0, 202
2936, 101,1101181,1101157,1,1,-0.160000,0.086876,9.809668,-0.003513,0.019863,0.010336,11.341324,5.849096,0.593386,0.354830,-0.371126,-0.514171,90.894470,179.689587,136.633222,0.662028,-0.652072,-0.257071,-0.265397,651.651123,94328.593750,-0.422279,0.048182,2.927917,-0.112366,-0.044896,30.500000,35.648136,0,3.000000,0,0,0, 202
2937, 101,1103321,1103285,1,1,-0.198623,0.168836,9.863617,0.040018,0.099222,0.065481,11.341324,6.329622,-0.367666,-1.431634,0.400027,-0.553329,90.928758,179.602734,136.613892,0.661428,-0.652590,-0.256946,-0.265738,651.616760,94332.421875,0.090515,-0.103997,2.927917,-0.146729,-0.106045,30.500000,35.602818,0,3.000000,0,0,0, 202
2938, 101,1104840,1104953,1,1,-2.181626,-3.954828,81.422401,-5.734257,-5.711063,71.343994,9.899747,0.563312,65.944901,5.089312,-1.812211,-495.944024,90.974834,-176.866929,-167.660080,-0.706641,0.698840,-0.055940,-0.095668,707.235596,93566.343750,113.007645,52.297329,55.472107,55.472107,28.501831,30.375000,35.281059,1,3.000000,0,0,0, 202
2939, 101,1105326,1105290,1,1,1.856126,-2.267994,30.285517,-2.477805,-1.678535,31.149725,12.302376,7.290674,10.684429,-15.442785,11.566828,-559.365773,95.419484,179.969556,19.568734,-0.125537,0.114544,0.663066,0.729016,751.075745,93071.507812,173.710327,84.963364,99.312256,99.312256,52.031219,30.375000,35.167759,1,3.010000,0,0,0, 202
2940, 101,1105584,1105550,1,1,3.080549,-0.839340,8.686452,1.666899,0.922483,-0.744555,14.705005,4.407518,-20.069225,-27.125359,5.833326,-576.234756,97.359497,-175.042176,-124.226401,0.649838,-0.598240,0.279824,0.376189,756.432983,93006.648438,172.829285,97.082802,104.669495,104.669495,62.778522,30.250000,35.158695,1,3.010000,0,0,0, 202
2941, 101,1105742,1105687,1,1,1.512665,-0.279098,-4.644438,1.734220,-0.455403,-14.353136,13.263428,5.368570,-20.069225,-14.519790,-7.676407,-623.799702,95.896402,-173.703322,153.690280,0.730335,-0.641960,-0.191917,-0.132914,775.605957,92431.296875,168.446716,102.369019,123.842468,123.842468,68.329788,30.250000,35.072582,1,3.010000,0,0,0, 202
2942, 101,1105908,1105842,1,1,2.740983,-0.769065,-8.375417,-1.322217,-1.317085,-18.447912,17.107634,7.290674,-19.588699,-16.874630,-0.230715,-608.091633,95.154214,-175.842510,62.866072,0.405591,-0.328725,-0.589185,-0.616682,795.635437,92185.664062,161.356186,106.738441,143.871948,143.871948,75.197258,30.250000,35.063519,2,3.010000,0,0,0, 202
2943, 101,1106333,1106322,1,1,2.885431,0.640335,-8.646631,3.068933,-0.764563,-18.374043,15.185531,7.290674,-20.069225,-23.541628,-3.031856,-591.284012,94.881798,-176.540241,137.184035,-0.692900,0.621282,0.267461,0.249725,887.030518,91496.726562,308.889252,135.272446,235.267029,235.267029,130.767410,30.250000,35.077114,2,3.010000,0,0,0, 202
2944, 101,1106435,1106322,1,1,2.885431,0.640335,-8.646631,3.068933,-0.764563,-18.374043,15.185531,7.290674,-20.069225,-23.541628,-3.031856,-591.284012,94.881798,-176.540241,137.184035,-0.692900,0.621282,0.267461,0.249725,887.030518,91496.726562,308.889252,135.272446,235.267029,235.267029,130.767410,30.250000,35.077114,2,3.010000,0,0,0, 202
