checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, accelworld x,accelworld y,accelworld z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,filteredvvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,20058,19982,1,1,1.175708,0.786753,9.860025,5.083304,-0.784213,-18.258074,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,75.890519,28.095461,-98.639905,0.611854,0.243668,0.577149,-0.482867,1961.094238,80677.242188,-0.460343,-0.225963,0.351562,-0.216797,-0.145064,0.000000,0.000000,0,202
101,20144,20059,1,1,1.175708,0.786753,9.860025,5.619660,-0.927529,-17.972933,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,74.650156,31.035577,-97.539186,0.627006,0.225062,0.579602,-0.469332,1961.094238,80677.242188,-0.460343,-0.285572,0.351562,-0.216797,-0.162240,0.000000,0.000000,0,202
101,20231,20059,1,1,1.175708,0.786753,9.860025,5.619660,-0.927529,-17.972933,-0.929886,-3.969802,1.047809,5.842025,42.479080,4.516223,193.000000,3909.000000,309.000000,74.650156,31.035577,-97.539186,0.627006,0.225062,0.579602,-0.469332,1961.094238,80677.242188,-0.460343,-0.285572,0.351562,-0.216797,-0.162240,0.000000,0.000000,0,202
101,20407,20389,1,1,1.141911,0.640066,9.777298,6.188162,-1.162333,-17.394737,0.894563,-0.228592,-0.653913,6.043685,42.255959,4.530839,226.000000,3870.000000,310.000000,72.327011,36.106067,-95.484829,0.651524,0.192107,0.583488,-0.445145,1961.089111,80675.234375,-0.390961,-0.411434,0.351562,-0.221924,-0.258543,0.000000,0.000000,0,202
101,20498,20389,1,1,1.141911,0.640066,9.777298,6.188162,-1.162333,-17.394737,0.894563,-0.228592,-0.653913,6.043685,42.255959,4.530839,226.000000,3870.000000,310.000000,72.327011,36.106067,-95.484829,0.651524,0.192107,0.583488,-0.445145,1961.089111,80675.234375,-0.390961,-0.411434,0.351562,-0.221924,-0.258543,0.000000,0.000000,0,202
101,20591,20588,1,1,1.153016,0.638520,9.791926,6.587941,-1.215510,-17.063269,-1.331289,-0.191628,0.263557,5.976465,42.307449,5.188541,215.000000,3879.000000,355.000000,71.135129,38.988581,-94.331524,0.663676,0.173728,0.586650,-0.430342,1961.126709,80674.429688,-0.310717,-0.640331,0.351562,-0.184326,-0.339567,0.000000,0.000000,0,202
101,20833,20777,1,1,1.186537,0.856254,9.808062,7.342384,-1.055877,-16.382309,-11.685864,0.062144,-0.987372,5.188158,42.255959,5.334697,86.000000,3870.000000,365.000000,70.195063,43.704212,-93.489396,0.676236,0.143894,0.597349,-0.406416,1961.065918,80677.343750,-0.278571,-0.298888,0.351562,-0.245117,-0.244417,0.000000,0.000000,0,202
101,20928,20911,1,1,1.156307,1.060041,9.660289,7.852858,-0.949164,-15.564126,-13.643764,-1.170846,1.137670,4.234856,42.845234,5.641625,-70.000000,3973.000000,386.000000,68.868367,47.917677,-91.985614,0.688796,0.118107,0.604354,-0.382580,1961.147095,80673.210938,-0.148483,-0.438297,0.351562,-0.163940,-0.283880,0.000000,0.000000,0,202
101,21023,20911,1,1,1.156307,1.060041,9.660289,7.852858,-0.949164,-15.564126,-13.643764,-1.170846,1.137670,4.234856,42.845234,5.641625,-70.000000,3973.000000,386.000000,68.868367,47.917677,-91.985614,0.688796,0.118107,0.604354,-0.382580,1961.147095,80673.210938,-0.148483,-0.438297,0.351562,-0.163940,-0.283880,0.000000,0.000000,0,202
101,21257,21237,1,1,0.800239,3.327601,9.429383,9.967825,-0.039256,-10.926834,-60.239605,-20.574166,4.615956,-0.965528,43.606140,3.069278,-921.000000,4106.000000,210.000000,62.421140,64.417563,-84.649082,0.720998,0.017213,0.632255,-0.283053,1961.181885,80674.226562,0.025928,-0.195194,0.351562,-0.129150,-0.173191,0.000000,0.000000,0,202
101,21325,21237,1,1,0.800239,3.327601,9.429383,9.967825,-0.039256,-10.926834,-60.239605,-20.574166,4.615956,-0.965528,43.606140,3.069278,-921.000000,4106.000000,210.000000,62.421140,64.417563,-84.649082,0.720998,0.017213,0.632255,-0.283053,1961.181885,80674.226562,0.025928,-0.195194,0.351562,-0.129150,-0.173191,0.000000,0.000000,0,202
101,21395,21237,1,1,0.800239,3.327601,9.429383,9.967825,-0.039256,-10.926834,-60.239605,-20.574166,4.615956,-0.965528,43.606140,3.069278,-921.000000,4106.000000,210.000000,62.421140,64.417563,-84.649082,0.720998,0.017213,0.632255,-0.283053,1961.181885,80674.226562,0.025928,-0.195194,0.351562,-0.129150,-0.173191,0.000000,0.000000,0,202
101,21553,21548,1,1,0.442796,6.789001,6.941246,6.716628,2.082691,-3.091544,-89.880611,-30.368831,18.238808,-9.251922,41.357746,0.511546,-2277.000000,3713.000000,35.000000,144.979754,97.598581,-165.786327,0.736550,-0.146923,0.651359,-0.107889,1961.185059,80675.632812,0.095232,0.057444,0.351562,-0.125977,-0.096999,0.000000,0.000000,0,202
