timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Pitch,Yaw,Roll,Uptime,
"1721516648.312","0.138",,,,,,,,,,,,,,,
"1721516648.412","0.239",,,,,,,,,,,,,,,
"1721516648.514","0.34",,,,,,,,,,,,,,,
"1721516648.614","0.441",,,,,,,,,,,,,,,
"1721516648.716","0.542",,,,,,,,,,,,,,,
"1721516648.816","0.643",,,,,,,,,,,,,,,
"1721516648.917","0.744",,,,,,,,,,,,,,,
"1721516649.018","0.845",,,,,,,,,,,,,,,
"1721516649.119","0.946",,,,,,,,,,,,,,,
"1721516649.173",,"0","1.2","1.26",,,,,,,,,,,,
"1721516649.174",,,,,"-81","0.52","-0.16",,,,,,,,,
"1721516649.175",,,,,,,,"9.87","0.02","-0.01","0","1.51",,,,
"1721516649.176",,,,,,,,,,,,,"-3.14","1.82","1485294",
"1721516649.22","0.044",,,,,,,,,,,,,,,
"1721516649.321","0.145",,,,,,,,,,,,,,,
"1721516649.422","0.246",,,,,,,,,,,,,,,
"1721516649.523","0.347",,,,,,,,,,,,,,,
"1721516649.624","0.448",,,,,,,,,,,,,,,
"1721516649.725","0.549",,,,,,,,,,,,,,,
"1721516649.827","0.65",,,,,,,,,,,,,,,
"1721516649.927","0.751",,,,,,,,,,,,,,,
"1721516650.028","0.852",,,,,,,,,,,,,,,
"1721516650.129","0.953",,,,,,,,,,,,,,,
"1721516650.175",,"0","1.4",,,,,,,,,,,,,
"1721516650.176",,,,"1.28","-82","0.5",,,,,,,,,,
"1721516650.177",,,,,,,"-0.2","9.9","0.03","0.01",,,,,,
"1721516650.178",,,,,,,,,,,"0.01","1.51","-3.14",,,
"1721516650.179",,,,,,,,,,,,,,"1.83","1486298",
"1721516650.23","0.051",,,,,,,,,,,,,,,
"1721516650.331","0.152",,,,,,,,,,,,,,,
"1721516650.432","0.253",,,,,,,,,,,,,,,
"1721516650.533","0.354",,,,,,,,,,,,,,,
"1721516650.634","0.455",,,,,,,,,,,,,,,
"1721516650.735","0.556",,,,,,,,,,,,,,,
"1721516650.836","0.657",,,,,,,,,,,,,,,
"1721516650.937","0.758",,,,,,,,,,,,,,,
"1721516651.038","0.859",,,,,,,,,,,,,,,
"1721516651.139","0.96",,,,,,,,,,,,,,,
