, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
231, 101,18902,18888,840,1,1,0.779451,-9.894135,-0.066440,0.178356,0.115546,0.121736,0.769756,-8.732251,5.172924,-3.787803,-0.703112,13.827290,179.672211,-177.519417,-5.518463,0.048066,-0.021758,0.001815,0.998605,1833.680420,81661.187500,0.085067,-0.622211,1.300659,1.001831,0.850890,16.375000,20.410051,2,2.900000,0,0,0, 202
232, 101,19007,19000,945,1,1,0.585688,-9.697101,0.093451,0.408309,-0.073921,-0.094644,0.289230,-8.251725,5.172924,-3.799677,3.609395,4.391771,179.772232,-177.342214,-5.893403,0.051347,-0.023263,0.000792,0.998410,1833.420288,81670.429688,-0.906722,0.051897,1.300659,0.741699,0.867719,16.375000,20.428196,2,2.910000,0,0,0, 202
233, 101,19110,19111,1048,1,1,0.778006,-9.882867,0.380618,0.153045,-0.025380,0.118534,-0.191296,-8.251725,5.653450,1.901003,3.312614,5.204706,177.900077,-177.107229,-5.498079,0.047476,-0.026087,0.017087,0.998385,1833.544678,81665.718750,0.146946,0.506319,1.300659,0.866089,0.931907,16.375000,20.455412,2,2.900000,0,0,0, 202
234, 101,19214,19206,1152,1,1,0.902230,-9.928132,0.436194,-0.006916,0.068276,0.177346,1.250281,-8.732251,5.172924,16.843209,1.583103,1.859538,177.101409,-177.116012,-5.279046,0.045387,-0.026295,0.024099,0.998333,1833.617920,81669.320312,0.573168,0.530977,1.300659,0.939331,0.983400,16.375000,20.432732,2,2.900000,0,0,0, 202
235, 101,19318,19313,1256,1,1,0.865390,-9.767184,0.380372,0.008198,0.050306,0.011689,0.769756,-9.693303,5.172924,-2.371059,-0.051938,1.771292,177.479706,-177.176009,-5.220881,0.044979,-0.025611,0.020840,0.998442,1833.875244,81662.476562,1.921214,0.969542,1.300659,1.196655,1.055439,16.375000,20.432732,2,2.900000,0,0,0, 202
236, 101,19592,19589,1530,1,1,0.912014,-9.797798,0.423047,-0.056342,0.078835,0.047766,1.250281,-8.251725,5.653450,-0.583491,-0.143583,-3.111080,177.092776,-177.179834,-5.110858,0.043934,-0.025706,0.024238,0.998409,1833.739624,81663.945312,-0.435873,1.319547,1.300659,1.061035,1.146554,16.375000,20.482630,2,2.900000,0,0,0, 202
237, 101,19696,19683,1634,1,1,0.878727,-9.821420,0.417893,-0.004172,0.039306,0.068423,0.289230,-8.732251,5.653450,-4.903174,0.686091,-0.372038,177.343389,-177.217632,-5.206404,0.044831,-0.025299,0.022048,0.998431,1833.640625,81663.367188,-1.766269,0.391723,1.300659,0.962036,1.044120,16.375000,20.469021,2,2.900000,0,0,0, 202
238, 101,19799,19794,1737,1,1,0.779399,-9.717214,0.002462,0.124838,0.083986,-0.053740,0.289230,-7.290674,5.172924,-43.426210,-1.856250,4.070479,179.457032,-177.283611,-5.321023,0.046292,-0.023897,0.003632,0.998635,1833.561646,81668.390625,0.110612,0.540372,1.300659,0.883057,1.024336,16.375000,20.464485,2,2.900000,0,0,0, 202
done
'
