timestamp(ms),navlooprate,prof_period_us,prof_overruns,prof_loop_work_avg_us,prof_loop_work_max_us,prof_getsensordata_avg_us,prof_getsensordata_max_us,prof_imu_avg_us,prof_imu_max_us,prof_baro_avg_us,prof_baro_max_us,prof_adxl_avg_us,prof_adxl_max_us,prof_mag_avg_us,prof_mag_max_us,prof_sensor_post_avg_us,prof_sensor_post_max_us,prof_kfrun_avg_us,prof_kfrun_max_us,prof_accel_adjust_avg_us,prof_accel_adjust_max_us,loggingtime_avg_us,loggingtime_max_us,loggingtime_count,
"1779671852.47",,,,,,"8251.915039","9579",,,,,,,,,,,,,,,,,,
"1779671852.471",,,,,,,,"4410.851074","5261","2198.851074",,,,,,,,,,,,,,,
"1779671852.472",,,,,,,,,,,"2549","887.340454","1101",,,,,,,,,,,,
"1779671852.473",,,,,,,,,,,,,,"685.553162","1003",,,,,,,,,,
"1779671852.474",,,,,,,,,,,,,,,,"26.553192","87","2167.340332","2747",,,,,,
"1779671852.475",,,,,,,,,,,,,,,,,,,,"1228.400024","1432",,,,
"1779671852.974","92.924889",,,,,,,,,,,,,,,,,,,,,,,,
"1779671852.975",,"10000","42",,,,,,,,,,,,,,,,,,,,,,
"1779671852.976",,,,"10525.702148","12424",,,,,,,,,,,,,,,,,,,,
"1779671852.977",,,,,,"8254.042969","9626","4412.553223","5168",,,,,,,,,,,,,,,,
"1779671852.978",,,,,,,,,,"2192.616943","2710",,,,,,,,,,,,,,
"1779671852.979",,,,,,,,,,,,"894.808533","1131","683.531921",,,,,,,,,,,
"1779671852.98",,,,,,,,,,,,,,,"817","26.425531","90",,,,,,,,
"1779671852.981",,,,,,,,,,,,,,,,,,"2129.148926","2759",,,,,,
"1779671852.982",,,,,,,,,,,,,,,,,,,,"1163.599976","1332",,,,
"1779671853.481","93.142822","10000","42",,,,,,,,,,,,,,,,,,,,,,
"1779671853.482",,,,"10520.830078",,,,,,,,,,,,,,,,,,,,,
"1779671853.483",,,,,"12229","8216.936523",,,,,,,,,,,,,,,,,,,
"1779671853.484",,,,,,,"9464","4380.680664","5209",,,,,,,,,,,,,,,,
"1779671853.485",,,,,,,,,,"2205.914795","2794",,,,,,,,,,,,,,
"1779671853.486",,,,,,,,,,,,"885.106384","1098","675.574463",,,,,,,,,,,
"1779671853.487",,,,,,,,,,,,,,,"781","27.063829","95",,,,,,,,
"1779671853.488",,,,,,,,,,,,,,,,,,"2160.97876","2742","1195.400024",,,,,
"1779671853.489",,,,,,,,,,,,,,,,,,,,,"1394",,,,
"1779671853.987","92.768852",,,,,,,,,,,,,,,,,,,,,,,,
"1779671853.988",,"10000","39",,,,,,,,,,,,,,,,,,,,,,
"1779671853.989",,,,"10519.106445","12350",,,,,,,,,,,,,,,,,,,,
"1779671853.99",,,,,,"8216.745117","9099",,,,,,,,,,,,,,,,,,
"1779671853.991",,,,,,,,"4404.595703","5264","2176.383057",,,,,,,,,,,,,,,
"1779671853.992",,,,,,,,,,,"2472","891.425537","1099",,,,,,,,,,,,
"1779671853.993",,,,,,,,,,,,,,"677","986","26.702127",,,,,,,,,
"1779671853.994",,,,,,,,,,,,,,,,,"86","2161.702148","3214",,,,,,
