timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.195",,,,,,,,,,,,,,,,,,,"2.875366","-1.019885","-1.069659","1970.448242",,,,,,,,,,,,,,,,,,,
"1779660680.197",,,,,,,,,,,,,,,,,,,,,,,"0.121871","1.383556","0.145215",,,,,,,,,,,,,,,,
"1779660680.199",,,,,,,,,,,,,,,,,,,,,,,,,,"10.255994","-4.097945","-38.690156",,,,,,,,,,,,,
"1779660680.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.609981","0",,,,,,,,,,
"1779660680.201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.359497","8.5","24.261995",,,,,,,
"1779660680.202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957",,,
"1779660680.203",,"17105","17105","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000206","0.000335",
"1779660680.205",,,,,"-6.213588","7.563679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.206",,,,,,,"-1.762392","8.053201","-46.30225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.207",,,,,,,,,,"74.875763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.208",,,,,,,,,,,"9.946052","4.324733","-8.16894",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.21",,,,,,,,,,,,,,"-11.052094","14.407764","-0.000353","0.010336","0.145046","0.8115",,,,,,,,,,,,,,,,,,,,,,
"1779660680.211",,,,,,,,,,,,,,,,,,,,"1.271749","-0.945006","1970.438721","0.573101","1.381742","0.150261","10.172856",,,,,,,,,,,,,,,
"1779660680.212",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4.049854","-38.670755","0.83487",,,,,,,,,,,,
"1779660680.213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.611013","0","0.349976","8.5","24.266481","0","0","0",,,,
"1779660680.215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000206","0.000335",
"1779660680.216",,"17083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.217",,,"17083","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.218",,,,,"-6.221256","7.574029","-1.721509","7.629348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
