rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    2.2766,   -0.0263,    9.6250,   -1.1495,   -0.2752,    0.7101,  -11.1762,   34.7879,   88.2259,   38.2500,87771.9844,    0.9043,   40.9986,    0.5177,    0.9043,0,246108,1
0,    2.3607,    0.1100,    6.9244,  -23.4548,   33.9055,   25.9040,  -17.1710,   41.5464,   85.9713,   38.3750,87775.8516,    0.5427,   41.0967,   -0.2537,    0.8890,0,251129,1
0,    2.3685,    0.1387,    9.5906,    0.4361,    0.4181,    0.5162,  -15.8613,   36.9010,   81.0131,   38.5000,87773.8906,    0.7261,   41.1761,    0.3197,    0.8862,0,256148,1
0,    2.3982,    0.2506,    9.5924,    1.5791,   -1.4026,    0.4721,  -15.6061,   38.3956,   82.7141,   38.5000,87770.5547,    1.0379,   41.2788,    0.6352,    1.0379,0,261166,1
0,    2.4085,    0.2584,    9.5822,    1.1747,   -0.2699,    0.3029,  -15.9831,   38.8961,   82.1380,   38.6250,87773.7422,    0.7396,   41.3629,   -0.2468,    0.9841,0,266187,1
0,    2.4152,    0.2676,    9.5798,    1.1402,    1.4044,   -0.4202,  -15.4926,   39.7787,   82.3706,   38.6250,87775.5156,    0.5743,   41.4376,   -0.5940,    0.9439,0,271205,1
0,    2.3966,    0.2582,    9.5700,    0.0726,   -1.0201,    2.9618,  -15.4000,   40.9978,   83.3691,   38.7500,87774.3750,    0.6808,   41.5357,   -0.5933,    1.1919,0,276223,1
0,    2.3903,    0.2691,    9.5870,    4.2000,    1.9582,   -2.2023,  -13.9273,   42.0285,   84.1509,   38.8750,87771.7266,    0.9281,   41.6150,   -0.1380,    1.1256,0,281242,1
0,    2.4109,    0.2822,    9.5867,    0.4158,   -0.3662,    0.4683,  -14.0776,   41.9790,   85.2599,   38.8750,87772.3281,    0.8720,   41.6991,    0.2172,    0.8720,0,286308,1
0,    2.4060,    0.2540,    9.5838,   -1.2457,    0.1570,    1.1734,  -13.5304,   43.3851,   85.8494,   39.0000,87772.8750,    0.8205,   41.7878,   -0.3051,    1.0509,0,291374,1
0,    2.4404,    0.4088,    9.5629,   -0.9412,   -0.4202,    0.7652,  -13.4183,   44.0808,   86.8686,   39.1250,87773.8125,    0.7334,   41.8672,   -0.6739,    0.9909,0,296441,1
0,    2.2947,    0.2812,    9.5865,    0.6071,    0.3464,   -2.6787,  -13.6129,   45.5862,   86.9478,   39.2500,87773.1406,    0.7962,   41.9466,    0.2249,    1.2610,0,301460,1
0,    2.4143,    0.3707,    9.5768,    1.7675,    0.5056,    1.3037,  -13.1727,   45.2495,   88.8444,   39.2500,87773.9297,    0.7220,   42.0260,   -0.1957,    1.0888,0,306478,1
