rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    0.6675,   -1.3551,    9.6972,   -0.9949,    1.3145,   -1.0226,   90.5096,   69.3215,   87.3733,   42.5000,87775.6563,    0.2229,   45.2425,    0.2965,    0.5002,1,96556,1
0,    0.7189,   -1.4208,    9.6685,    0.5755,   -0.7593,   -1.2902,   90.5911,   69.2311,   87.3422,   42.5000,87778.4219,   -0.0358,   45.2378,   -0.2743,    0.5002,1,96670,1
0,    0.6909,   -1.3529,    9.6941,   -2.1517,    0.4101,    1.1204,   90.4902,   69.3069,   87.3537,   42.5000,87776.8672,    0.1097,   45.2378,   -0.1361,    0.5002,1,96783,1
0,    0.7250,   -1.3824,    9.6766,   -0.8483,   -0.0286,   -0.1225,   90.4895,   69.4094,   87.3622,   42.5000,87776.6016,    0.1351,   45.2425,   -0.6601,    0.5002,1,96896,1
0,    0.6904,   -1.3732,    9.6845,    2.5631,   -0.0159,    0.9807,   90.5971,   69.4182,   87.4361,   42.5000,87772.5859,    0.5103,   45.2332,    0.6885,    0.5103,1,97010,1
0,    0.6867,   -1.4318,    9.6865,    0.7051,    0.5725,   -0.3741,   90.6099,   69.5436,   87.3251,   42.5000,87773.4922,    0.4255,   45.2425,    0.6423,    0.5103,1,97122,1
0,    0.6603,   -1.4075,    9.6843,   -2.7510,    1.4487,   -0.1350,   90.5583,   69.6384,   87.4747,   42.5000,87775.7266,    0.2166,   45.2378,    0.3691,    0.5103,1,97235,1
0,    0.7405,   -1.3368,    9.6690,   -0.0609,    2.7747,    0.5716,   90.4652,   69.7902,   87.5479,   42.5000,87778.4922,   -0.0420,   45.2425,   -1.0878,    0.5783,1,97349,1
0,    0.7162,   -1.4213,    9.6636,    0.2528,   -0.2687,    0.6093,   90.4007,   69.8208,   87.4965,   42.6250,87775.0469,    0.2800,   45.2518,   -0.5228,    0.5783,1,97462,1
0,    0.6723,   -1.3727,    9.6713,   -1.7350,    0.8801,    0.0737,   90.3840,   69.8679,   87.3968,   42.6250,87773.8359,    0.3933,   45.2565,   -0.0206,    0.5783,1,97575,1
0,    0.6942,   -1.4123,    9.6853,    0.1835,   -1.1836,   -1.0851,   90.5399,   69.6322,   87.3269,   42.6250,87776.6719,    0.1284,   45.2378,    0.2001,    0.5783,1,97689,1
0,    0.6929,   -1.3729,    9.6846,   -1.5013,    0.0139,    3.4162,   90.5198,   69.6854,   87.5755,   42.6250,87775.0469,    0.2800,   45.2518,    0.0445,    0.5783,1,97802,1
0,    0.6911,   -1.4202,    9.6695,   -1.0249,   -3.1979,    1.7962,   90.4280,   69.4574,   87.6854,   42.6250,87776.3359,    0.1595,   45.2425,   -0.2091,    0.5783,1,97914,1
0,    0.6227,   -1.4309,    9.7084,    0.8621,    1.4514,    0.1210,   90.5196,   69.5247,   87.7606,   42.6250,87775.9922,    0.1911,   45.2425,    0.2772,    0.5783,1,98029,1
0,    0.7087,   -1.4110,    9.6799,    0.3353,    0.8008,   -0.4571,   90.6857,   69.6351,   87.6709,   42.6250,87771.3672,    0.6236,   45.2425,    0.6042,    0.6236,1,98141,1
0,    0.7200,   -1.3671,    9.6787,   -1.5730,   -0.2249,    1.6305,   90.5763,   69.7275,   87.8471,   42.6250,87771.9766,    0.5670,   45.2472,    0.8129,    0.6236,1,98254,1
0,    0.6865,   -1.3895,    9.6940,   -1.2466,    0.9489,   -0.7778,   90.5417,   69.8553,   87.8254,   42.6250,87777.8906,    0.0140,   45.2378,   -0.1488,    0.6236,1,98368,1
0,    0.6791,   -1.4123,    9.6782,   -0.1557,    0.2624,    2.1461,   90.5801,   69.9626,   87.8863,   42.6250,87779.1016,   -0.0992,   45.2378,   -1.1954,    0.6236,1,98481,1
0,    0.6804,   -1.4316,    9.6772,   -0.2364,    0.8988,    1.5308,   90.6255,   70.0069,   88.0249,   42.6250,87776.2969,    0.1634,   45.2472,   -0.9630,    0.6236,1,98593,1
0,    0.7106,   -1.3525,    9.6684,   -0.8121,    2.5568,    0.7629,   90.6959,   70.2439,   88.1838,   42.5000,87774.7813,    0.3049,   45.2472,    0.2889,    0.6236,1,98708,1
0,    0.6713,   -1.4042,    9.6770,    0.0023,    0.2588,    0.3488,   90.6863,   70.2937,   88.1171,   42.5000,87774.7813,    0.3049,   45.2425,    0.5914,    0.6236,1,98820,1
0,    0.6821,   -1.3740,    9.6798,    2.0125,   -0.2181,    1.0599,   90.8257,   70.2883,   88.1261,   42.5000,87775.4609,    0.2409,   45.2425,    0.2495,    0.6236,1,98933,1
0,    0.6986,   -1.4006,    9.6956,    0.3468,    0.9110,   -0.9849,   90.8427,   70.3504,   87.9839,   42.5000,87775.1172,    0.2738,   45.2425,   -0.0529,    0.6236,1,99047,1
0,    0.6711,   -1.4141,    9.6922,   -2.4567,    0.0300,    0.7316,   90.6247,   70.2965,   88.0017,   42.5000,87777.8125,    0.0213,   45.2518,   -0.5368,    0.6236,1,99160,1
0,    0.7055,   -1.3603,    9.7034,    0.0567,    1.4897,   -0.0018,   90.5266,   70.3646,   88.0151,   42.5000,87776.6406,    0.1312,   45.2472,   -0.2471,    0.6236,1,99273,1
0,    0.6976,   -1.3510,    9.6685,    0.0392,    0.4972,   -0.5206,   90.5820,   70.4701,   87.9120,   42.5000,87778.4922,   -0.0420,   45.2518,   -0.6077,    0.6236,1,99387,1
0,    0.7031,   -1.4027,    9.6621,    2.0165,   -0.8542,    2.4587,   90.6453,   70.4571,   88.0085,   42.5000,87773.8672,    0.3904,   45.2425,    0.6522,    0.6236,1,99500,1
0,    0.6667,   -1.4062,    9.7043,   -0.5723,   -0.6894,    1.0286,   90.5522,   70.4164,   88.0588,   42.5000,87777.5859,    0.0423,   45.2518,   -0.2922,    0.3231,1,99612,1
0,    0.7176,   -1.3863,    9.6697,   -0.4724,   -0.1702,   -0.9742,   90.6617,   70.4676,   87.9478,   42.5000,87774.4766,    0.3332,   45.2378,    0.6436,    0.3332,1,99726,1
0,    0.7117,   -1.3988,    9.7116,    0.3109,    0.9994,   -0.3619,   90.7480,   70.5897,   87.8768,   42.5000,87775.3906,    0.2478,   45.2472,   -0.1582,    0.3332,1,99839,1
0,    0.6452,   -1.4342,    9.6922,   -0.6956,   -2.0747,    0.1324,   90.7587,   70.4235,   87.7704,   42.5000,87775.7656,    0.2132,   45.2565,    0.4392,    0.3332,1,99952,1
