checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,90.527334,-178.762826,-19.480565,-0.080000,-0.200000,9.930000,0.000000,-0.010000,0.000000,-0.020000,-0.080000,43874,1,1,0,1071773,4,CD
AB,90.527334,-178.762826,-19.480565,-0.090000,-0.200000,9.940000,0.000000,0.010000,0.000000,-0.040000,-0.540000,44412,1,1,0,1072310,4,CD
AB,90.527334,-178.762826,-19.480565,-0.090000,-0.190000,9.960000,-0.010000,0.010000,0.000000,-0.010000,0.100000,44948,1,1,0,1072846,4,CD
AB,90.527334,-178.762826,-20.053522,-0.090000,-0.200000,9.960000,0.010000,0.010000,0.010000,0.010000,0.470000,45483,1,1,0,1073382,4,CD
AB,90.527334,-178.762826,-20.053522,-0.080000,-0.210000,9.930000,0.000000,-0.010000,0.000000,0.000000,-0.010000,46019,1,1,0,1073918,3,CD
AB,90.527334,-178.762826,-20.053522,-0.100000,-0.200000,9.940000,0.000000,0.000000,-0.020000,0.000000,0.110000,46555,1,1,0,1074453,3,CD
AB,90.527334,-178.762826,-20.626481,-0.090000,-0.200000,9.940000,0.010000,0.010000,0.010000,0.000000,0.890000,47091,1,1,0,1074990,3,CD
AB,90.527334,-178.762826,-20.626481,-0.100000,-0.210000,9.940000,0.000000,0.030000,0.000000,0.010000,0.710000,47627,1,1,0,1075526,3,CD
AB,90.527334,-178.762826,-20.626481,-0.100000,-0.200000,9.950000,0.000000,0.020000,0.000000,0.000000,-0.690000,48163,1,1,0,1076061,3,CD
AB,90.527334,-178.762826,-20.626481,-0.090000,-0.210000,9.940000,0.000000,-0.030000,0.000000,0.000000,0.240000,48699,1,1,0,1076598,3,CD
AB,90.527334,-178.762826,-20.626481,-0.070000,-0.210000,9.940000,0.000000,0.010000,0.000000,0.000000,-0.350000,49236,1,1,0,1077133,3,CD
AB,90.527334,-178.762826,-20.626481,-0.120000,-0.210000,9.920000,0.000000,0.010000,-0.010000,-0.010000,-0.190000,49771,1,1,0,1077670,4,CD
AB,90.527334,-178.762826,-21.199439,-0.110000,-0.200000,9.950000,0.000000,0.000000,0.000000,-0.010000,0.200000,50307,1,1,0,1078207,4,CD
AB,90.527334,-178.762826,-21.199439,-0.080000,-0.200000,9.930000,0.000000,0.000000,0.000000,-0.030000,-0.850000,50810,1,1,0,1078911,3,CD
AB,90.527334,-178.762826,-21.199439,-0.100000,-0.210000,9.930000,0.000000,0.020000,0.000000,-0.010000,0.110000,51549,1,1,0,1079448,3,CD
AB,90.527334,-178.762826,-21.199439,-0.080000,-0.170000,9.950000,0.000000,0.010000,0.000000,-0.010000,0.360000,52074,1,1,0,1080071,3,CD
AB,90.527334,-178.762826,-21.199439,-0.120000,-0.200000,9.940000,0.000000,0.020000,-0.010000,0.000000,-0.010000,52710,1,1,0,1080608,4,CD
AB,90.527334,-178.762826,-21.772396,-0.090000,-0.200000,9.940000,0.010000,-0.020000,0.000000,0.000000,-0.270000,53247,1,1,0,1081145,4,CD
AB,90.527334,-178.762826,-21.772396,-0.100000,-0.220000,9.940000,0.000000,0.010000,-0.010000,0.000000,-0.480000,53782,1,1,0,1081681,4,CD
AB,90.527334,-178.762826,-21.772396,-0.080000,-0.210000,9.940000,0.000000,0.000000,0.010000,0.000000,0.300000,54318,1,1,0,1082217,4,CD
AB,90.527334,-178.762826,-21.772396,-0.100000,-0.210000,9.940000,0.000000,0.010000,0.000000,0.000000,-0.200000,54855,1,1,0,1082754,4,CD
AB,90.527334,-178.762826,-21.772396,-0.090000,-0.190000,9.940000,0.000000,0.030000,0.000000,0.010000,0.520000,55391,1,1,0,1083290,3,CD
AB,90.527334,-178.762826,-21.772396,-0.100000,-0.200000,9.940000,0.000000,0.020000,-0.010000,-0.020000,-1.040000,55927,1,1,0,1083826,3,CD
AB,90.527334,-178.762826,-22.345353,-0.120000,-0.220000,9.930000,0.000000,0.020000,-0.010000,0.000000,0.340000,56463,1,1,0,1084362,3,CD
AB,90.527334,-178.762826,-22.345353,-0.080000,-0.190000,9.940000,0.000000,0.000000,0.000000,0.000000,0.360000,57000,1,1,0,1084899,3,CD
AB,90.527334,-178.762826,-22.345353,-0.090000,-0.200000,9.930000,0.000000,-0.010000,-0.010000,-0.020000,-1.060000,57536,1,1,0,1085434,3,CD
AB,90.527334,-178.762826,-22.345353,-0.100000,-0.200000,9.930000,0.000000,0.000000,0.000000,0.000000,0.500000,58072,1,1,0,1085970,3,CD
AB,90.527334,-178.762826,-22.345353,-0.090000,-0.200000,9.940000,0.000000,0.000000,0.000000,-0.010000,-0.030000,58608,1,1,0,1086507,3,CD
AB,90.527334,-178.762826,-22.345353,-0.100000,-0.190000,9.960000,0.000000,0.000000,0.000000,0.000000,-0.550000,59144,1,1,0,1087042,3,CD
AB,90.527334,-178.762826,-22.345353,-0.080000,-0.200000,9.930000,0.000000,0.020000,-0.010000,0.010000,-0.020000,59680,1,1,0,1087578,3,CD
AB,90.527334,-178.762826,-22.918312,-0.100000,-0.210000,9.930000,-0.010000,0.020000,0.000000,-0.010000,-0.620000,60216,1,1,0,1088115,3,CD
AB,90.527334,-178.762826,-22.918312,-0.130000,-0.200000,9.950000,0.000000,-0.010000,0.010000,0.000000,0.360000,60752,1,1,0,1088651,4,CD
AB,90.527334,-178.762826,-22.918312,-0.070000,-0.200000,9.940000,0.000000,-0.010000,-0.010000,0.000000,0.720000,61289,1,1,0,1089188,4,CD
AB,90.527334,-178.762826,-22.918312,-0.130000,-0.200000,9.940000,-0.010000,0.010000,0.000000,0.000000,0.300000,61825,1,1,0,1089724,4,CD
AB,90.527334,-178.762826,-22.918312,-0.080000,-0.190000,9.940000,0.000000,0.000000,0.000000,-0.010000,0.250000,62361,1,1,0,1090260,4,CD
AB,90.527334,-178.762826,-22.918312,-0.090000,-0.200000,9.950000,0.000000,0.000000,0.000000,-0.020000,-0.310000,62897,1,1,0,1090796,4,CD
AB,90.527334,-178.762826,-23.491269,-0.100000,-0.200000,9.940000,0.000000,-0.020000,0.000000,0.000000,0.090000,63433,1,1,0,1091332,3,CD
AB,90.527334,-178.762826,-23.491269,-0.100000,-0.200000,9.940000,-0.010000,-0.020000,0.000000,0.030000,0.480000,63969,1,1,0,1091868,3,CD
AB,90.527334,-178.762826,-23.491269,-0.100000,-0.190000,9.930000,-0.020000,0.010000,0.000000,0.010000,0.200000,64505,1,1,0,1092403,3,CD
AB,90.527334,-178.762826,-23.491269,-0.090000,-0.200000,9.950000,0.000000,0.000000,0.000000,0.000000,-0.480000,65041,1,1,0,1092940,3,CD
AB,90.527334,-178.762826,-23.491269,-0.080000,-0.200000,9.950000,0.000000,0.000000,0.000000,0.000000,-0.210000,65577,1,1,0,1093476,3,CD
AB,90.527334,-178.762826,-23.491269,-0.080000,-0.200000,9.940000,0.000000,0.010000,-0.010000,0.000000,0.080000,66113,1,1,0,1094011,3,CD
AB,90.527334,-178.762826,-23.491269,-0.100000,-0.200000,9.950000,0.000000,0.010000,0.000000,0.010000,0.180000,66649,1,1,0,1094548,4,CD
AB,90.527334,-178.762826,-24.064227,-0.090000,-0.200000,9.950000,0.000000,0.000000,0.000000,0.000000,-0.950000,67185,1,1,0,1095084,4,CD
AB,90.527334,-178.762826,-24.064227,-0.090000,-0.210000,9.950000,0.000000,0.010000,-0.010000,0.000000,0.000000,67722,1,1,0,1095621,4,CD
AB,90.527334,-178.762826,-24.064227,-0.100000,-0.220000,9.930000,0.000000,0.010000,0.000000,0.000000,0.290000,68258,1,1,0,1096158,4,CD
AB,90.527334,-178.762826,-24.064227,-0.090000,-0.220000,9.940000,-0.010000,0.000000,-0.010000,0.000000,0.270000,68794,1,1,0,1096693,4,CD
AB,90.527334,-178.762826,-24.064227,-0.080000,-0.190000,9.930000,0.000000,-0.010000,0.000000,-0.030000,-0.990000,69330,1,1,0,1097229,4,CD
AB,90.527334,-178.762826,-24.637186,-0.110000,-0.190000,9.950000,0.000000,0.000000,-0.010000,0.010000,0.890000,69867,1,1,0,1097766,4,CD
AB,90.527334,-178.762826,-24.637186,-0.100000,-0.210000,9.930000,0.000000,0.000000,0.000000,0.010000,0.680000,70403,1,1,0,1098302,4,CD
AB,90.527334,-178.762826,-24.637186,-0.090000,-0.200000,9.930000,0.000000,-0.010000,0.000000,0.000000,-0.130000,70939,1,1,0,1098837,3,CD
AB,90.527334,-178.762826,-24.637186,-0.110000,-0.210000,9.940000,0.000000,0.000000,0.000000,0.020000,0.610000,71475,1,1,0,1099374,3,CD
AB,90.527334,-178.762826,-24.637186,-0.100000,-0.200000,9.930000,0.000000,0.000000,0.000000,0.000000,-0.610000,72011,1,1,0,1099910,3,CD
AB,90.527334,-178.762826,-24.637186,-0.090000,-0.200000,9.950000,0.000000,0.000000,0.010000,0.000000,-0.030000,72547,1,1,0,1100445,3,CD
AB,90.527334,-178.762826,-24.637186,-0.100000,-0.190000,9.940000,-0.010000,0.010000,0.000000,0.010000,-0.340000,73083,1,1,0,1100982,3,CD
AB,90.527334,-178.762826,-24.637186,-0.090000,-0.200000,9.950000,0.000000,-0.030000,-0.010000,0.020000,0.350000,73619,1,1,0,1101517,3,CD
AB,90.527334,-178.762826,-24.637186,-0.090000,-0.210000,9.940000,0.000000,0.000000,0.000000,0.020000,0.950000,74155,1,1,0,1102054,3,CD
