index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
2120," 101",663120,663083,1,1,6.171112,4.562333,-6.239515,9.292737,-0.971474,-13.046047,4.613962,2.485415,-5.172924,0.429404,-0.656251,-0.338234,13.206256,-148.941496,166.027501,-0.142319,0.946252,0.146972,-0.250504,1306.036133,87047.546875,-0.118542,0.222616,103.398438,-0.421143,-0.416122,21.250000,26.304455,5,0.000000,1," 202"
2121," 101",663511,663506,1,1,6.163980,4.564271,-6.217656,9.284883,-0.969482,-13.016202,5.094488,0.082786,-5.653450,-0.402686,0.108641,-0.079234,13.084729,-148.982026,165.795957,-0.141791,0.946202,0.148591,-0.250036,1306.338135,87041.375000,1.115537,-0.649216,103.398438,-0.119141,-0.406942,21.250000,26.354134,5,0.000000,1," 202"
2122," 101",663755,663752,1,1,6.163571,4.553097,-6.220353,9.289366,-0.964046,-12.993395,5.575014,2.004889,-5.653450,-0.174300,-0.489314,-0.700359,13.045922,-148.893029,165.722246,-0.141700,0.945939,0.149174,-0.250736,1306.179443,87046.671875,1.419271,-0.181059,103.398438,-0.277832,-0.370512,21.250000,26.340586,5,0.000000,1," 202"
2123," 101",663846,663752,1,1,6.163571,4.553097,-6.220353,9.289366,-0.964046,-12.993395,5.575014,2.004889,-5.653450,-0.174300,-0.489314,-0.700359,13.045922,-148.893029,165.722246,-0.141700,0.945939,0.149174,-0.250736,1306.179443,87046.671875,1.419271,-0.181059,103.398438,-0.277832,-0.370512,21.250000,26.340586,5,0.000000,1," 202"
2124," 101",663948,663917,1,1,6.165201,4.565987,-6.236114,9.309719,-0.991075,-12.978099,5.575014,1.043838,-5.653450,-0.586364,0.387280,-1.227519,12.956454,-148.977682,165.476605,-0.141432,0.945933,0.150951,-0.249845,1306.127808,87050.203125,1.464355,0.572983,103.398438,-0.329468,-0.379222,21.375000,26.318005,5,0.000000,1," 202"
2125," 101",664164,664155,1,1,6.170975,4.559905,-6.223446,9.311414,-1.005927,-12.945937,4.613962,1.043838,-5.653450,-0.545456,0.407906,-0.335589,12.787115,-149.078796,165.296657,-0.140344,0.946147,0.152003,-0.249006,1306.045898,87052.859375,0.863016,-0.085077,103.398438,-0.411377,-0.335305,21.375000,26.331553,5,0.000000,1," 202"
2126," 101",664260,664155,1,1,6.170975,4.559905,-6.223446,9.311414,-1.005927,-12.945937,4.613962,1.043838,-5.653450,-0.545456,0.407906,-0.335589,12.787115,-149.078796,165.296657,-0.140344,0.946147,0.152003,-0.249006,1306.045898,87052.859375,0.863016,-0.085077,103.398438,-0.411377,-0.335305,21.375000,26.331553,5,0.000000,1," 202"
2127," 101",664598,664564,1,1,6.157404,4.558900,-6.213964,9.306990,-0.991071,-12.963167,6.055540,1.043838,-5.653450,0.205697,-0.246348,0.118707,12.873015,-148.978679,165.363893,-0.140988,0.945889,0.151698,-0.249808,1306.046509,87045.906250,-0.117822,0.265981,103.398438,-0.410767,-0.454581,21.375000,26.372198,5,0.000000,1," 202"
2128," 101",664706,664600,1,1,6.157404,4.558900,-6.213964,9.295103,-0.981561,-12.955068,6.055540,1.043838,-5.653450,0.205697,-0.246348,0.118707,12.878382,-148.968926,165.370655,-0.141025,0.945868,0.151661,-0.249891,1306.046509,87045.906250,-0.117822,-0.169879,103.398438,-0.410767,-0.445638,21.375000,26.372198,5,0.000000,1," 202"
2129," 101",664858,664849,1,1,6.166707,4.546759,-6.232122,9.304754,-1.024719,-12.949354,4.613962,2.004889,-6.133976,-0.008992,0.543146,-0.247274,12.894147,-149.149912,165.358088,-0.141037,0.946269,0.151682,-0.248348,1305.906982,87052.640625,0.390847,-0.621322,103.398438,-0.550293,-0.445734,21.375000,26.340586,5,0.000000,1," 202"
2130," 101",664983,664849,1,1,6.161391,4.559196,-6.231751,9.304754,-1.024719,-12.949354,6.055540,2.004889,-5.653450,-0.419275,1.038825,-0.650982,12.894147,-149.149912,165.358088,-0.141037,0.946269,0.151682,-0.248348,1305.937134,87050.203125,0.488493,-0.621322,103.398438,-0.520142,-0.445734,21.375000,26.318005,5,0.000000,1," 202"
2131," 101",665136,665120,1,1,6.163427,4.563402,-6.229263,9.302955,-1.041837,-12.961030,6.055540,0.082786,-5.172924,0.528458,0.346362,-0.318132,12.963386,-149.322743,165.265921,-0.141668,0.946476,0.152482,-0.246704,1305.945557,87050.648438,0.599247,0.303697,103.398438,-0.511719,-0.476281,21.250000,26.340586,5,0.000000,1," 202"
2132," 101",665271,665232,1,1,6.173617,4.547500,-6.236786,9.311915,-1.045917,-12.945058,5.094488,1.043838,-6.133976,0.406882,0.071864,-0.247651,13.014352,-149.319123,165.265566,-0.142092,0.946404,0.152597,-0.246666,1305.908081,87052.187500,0.322209,0.305068,103.398438,-0.549194,-0.482909,21.250000,26.318005,5,0.000000,1," 202"
2133," 101",665714,665703,1,1,6.165945,4.568223,-6.220093,9.306080,-1.030904,-12.949207,4.613962,1.043838,-6.614501,-0.765973,-0.237305,-0.328146,13.022074,-149.337346,165.146611,-0.142397,0.946279,0.153584,-0.246356,1306.064819,87049.554688,0.414778,0.326043,103.398438,-0.392456,-0.432118,21.250000,26.385748,5,0.000000,1," 202"
2134," 101",665847,665839,1,1,6.169533,4.568633,-6.224332,9.315969,-1.042952,-12.931945,5.094488,2.485415,-5.653450,-0.873351,-0.097895,-0.432240,12.892586,-149.354025,165.025184,-0.141575,0.946316,0.154297,-0.246240,1306.034912,87050.648438,0.468598,0.336603,103.398438,-0.422363,-0.431231,21.250000,26.340586,5,0.000000,1," 202"
2135," 101",666014,665987,1,1,6.166490,4.563081,-6.223249,9.316043,-1.059408,-12.909879,5.575014,1.043838,-6.614501,-0.715968,0.154887,-0.570283,12.782672,-149.402738,164.886367,-0.140924,0.946381,0.155177,-0.245812,1306.010864,87050.757812,0.109614,0.319789,103.398438,-0.446411,-0.432611,21.250000,26.336069,5,0.000000,1," 202"
