checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,88.235498,179.908754,114.018602,0.190000,-0.050000,9.930000,0.000000,-0.010000,0.000000,0.070000,0.500000,580219,1,1,0,75659,4,CD
AB,88.235498,179.908754,114.018602,0.190000,-0.050000,9.930000,0.000000,-0.010000,0.010000,0.060000,-0.680000,580756,1,1,0,76195,3,CD
AB,88.235498,-179.908754,114.018602,0.190000,-0.080000,9.920000,0.000000,-0.010000,0.000000,0.060000,-0.140000,581292,1,1,0,76731,3,CD
AB,88.235498,179.908754,114.018602,0.190000,-0.070000,9.930000,0.000000,0.000000,0.000000,0.090000,0.870000,581828,1,1,0,77267,4,CD
AB,88.235498,179.908754,114.591559,0.190000,-0.090000,9.930000,0.000000,0.010000,0.000000,0.060000,-0.540000,582364,1,1,0,77803,4,CD
AB,88.235498,179.335796,114.591559,0.190000,-0.060000,9.930000,0.000000,0.020000,0.000000,0.070000,-0.170000,582901,1,1,0,78340,3,CD
AB,88.235498,179.908754,114.018602,0.210000,-0.080000,9.950000,0.000000,0.020000,0.000000,0.070000,-0.050000,583437,1,1,0,78876,3,CD
AB,88.235498,179.335796,114.018602,0.170000,-0.110000,9.940000,0.000000,0.010000,0.000000,0.070000,-0.230000,583971,1,1,0,79513,4,CD
AB,88.808456,179.335796,114.018602,0.200000,-0.100000,9.950000,0.000000,0.000000,0.000000,0.070000,0.310000,584611,1,1,0,80050,3,CD
AB,88.808456,-179.335796,114.018602,0.200000,-0.080000,9.960000,0.000000,0.000000,-0.010000,0.060000,0.130000,585147,1,1,0,80585,3,CD
AB,88.235498,179.908754,114.018602,0.200000,-0.070000,9.940000,0.000000,-0.010000,0.000000,0.090000,0.670000,585684,1,1,0,81122,4,CD
AB,88.235498,179.335796,113.445645,0.200000,-0.100000,9.940000,-0.010000,0.000000,0.000000,0.070000,0.210000,586219,1,1,0,81659,3,CD
AB,88.808456,-179.908754,113.445645,0.200000,-0.090000,9.930000,0.000000,0.000000,0.000000,0.080000,0.550000,586755,1,1,0,82194,3,CD
AB,88.235498,179.908754,113.445645,0.210000,-0.100000,9.940000,0.000000,0.000000,0.000000,0.060000,-0.020000,587291,1,1,0,82731,4,CD
AB,88.235498,179.335796,113.445645,0.210000,-0.090000,9.930000,0.000000,0.000000,0.000000,0.080000,0.490000,587827,1,1,0,83266,4,CD
AB,88.235498,179.335796,113.445645,0.200000,-0.070000,9.930000,-0.010000,0.000000,0.000000,0.060000,-0.810000,588363,1,1,0,83803,3,CD
