checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,442020,441710,0,0,0.745720,0.874449,-4.853104,2.922360,-3.155187,219.677872,3.122671,25.733452,22.800350,-252.000000,982.000000,1560.000000,159.778042,76.019582,132.730383,0.499928,-0.410008,0.667265,-0.369761,1353.115601,85971.570312,17.861469,122.150879,122.150879,123.071121,25.375000,27.390993,3,202
101,442135,441970,0,0,0.853926,0.611747,-4.649778,5.412491,3.399524,214.492132,-15.540049,25.905083,24.028061,-3306.000000,1012.000000,1644.000000,104.323872,77.269896,144.382440,-0.322905,0.553322,-0.470206,0.607020,1353.988647,85973.054688,15.916958,123.023926,123.023926,122.799461,25.375000,27.390993,3,202
101,442251,441970,0,0,0.853926,0.611747,-4.649778,5.412491,3.399524,214.492132,-15.540049,25.905083,24.028061,-3306.000000,1012.000000,1644.000000,104.323872,77.269896,144.382440,-0.322905,0.553322,-0.470206,0.607020,1353.988647,85973.054688,15.916958,123.023926,123.023926,122.799461,25.375000,27.390993,3,202
101,442367,442118,0,0,0.787943,0.909179,-4.462193,-2.305328,7.360383,207.636685,-22.891470,25.470282,6.562409,-4509.000000,936.000000,449.000000,104.323872,77.269896,144.382440,-0.322905,0.553322,-0.470206,0.607020,1354.764160,85967.289062,13.730362,123.799438,123.799438,125.237228,25.375000,27.376974,3,202
101,442489,442317,0,0,0.661422,0.991243,-4.328040,-10.899674,2.197861,203.821451,-26.258581,24.720818,-26.351944,-5060.000000,805.000000,-1803.000000,88.032785,74.605972,123.713809,-0.101507,0.645001,-0.281811,0.703031,1355.455688,85962.085938,11.791485,124.490967,124.490967,124.339973,25.375000,27.390993,3,202
101,442612,442453,0,0,0.772195,1.052599,-4.217715,-14.356422,-3.095395,198.310294,-23.447565,23.839771,-47.193806,-4600.000000,651.000000,-3229.000000,88.032785,74.605972,123.713809,-0.101507,0.645001,-0.281811,0.703031,1355.958984,85961.406250,9.955487,124.994263,124.994263,126.062798,25.375000,27.381647,3,202
101,442740,442595,0,0,0.876611,0.895802,-4.147655,-17.030704,-6.482987,188.768028,-16.438353,22.781368,-61.210175,-3453.000000,466.000000,-4188.000000,88.032785,74.605972,123.713809,-0.101507,0.645001,-0.281811,0.703031,1356.165161,85966.531250,8.095747,125.200439,125.200439,127.894417,25.375000,27.390993,3,202
101,442863,442595,0,0,0.876611,0.895802,-4.147655,-17.030704,-6.482987,188.768028,-16.438353,22.781368,-61.210175,-3453.000000,466.000000,-4188.000000,88.032785,74.605972,123.713809,-0.101507,0.645001,-0.281811,0.703031,1356.165161,85966.531250,8.095747,125.200439,125.200439,127.894417,25.375000,27.390993,3,202
101,443039,442735,0,0,0.850080,0.694047,-4.042886,-13.866315,-9.606507,181.540472,-5.732037,21.768736,-66.574104,-1740.000000,290.000000,-4548.000000,67.613477,74.813268,140.770090,-0.096805,0.623833,-0.246875,0.735197,1355.849976,85982.632812,6.425206,125.200439,124.885254,124.852074,25.375000,27.405014,3,202
101,443163,442989,0,0,0.385129,0.588610,-3.954643,-6.164594,-10.591416,178.897093,5.408151,20.819035,-54.004677,122.000000,123.000000,-3695.000000,67.613477,74.813268,140.770090,-0.096805,0.623833,-0.246875,0.735197,1355.179199,85998.406250,4.693892,125.200439,124.214478,126.326935,25.375000,27.437729,3,202
